,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
873,1,ERCOT_2020_HubAVG.csv,1004130,600,HTGR,1,70.12928878,-121817406.9,-99121276.32,-26896000,0,-16747413.07,-82000,21029282.49,Petroleum Refineries,38.81113744,55.08118933
878,1,ERCOT_2020_HubAVG.csv,1008938,600,HTGR,2,562.1461278,-278924610.5,-198242552.6,-53792000,0,-36508057.93,-164000,9782000.031,Petroleum Refineries,11.08623465,15.73370507
883,1,ERCOT_2020_HubAVG.csv,1006959,600,HTGR,1,263.2930762,-137983278.8,-99121276.32,-26896000,0,-17966975.84,-82000,6082973.407,Petroleum Refineries,11.70936858,16.61806353
890,3,ERCOT_2020_HubAVG.csv,1004024,150,Microreactor,1,5.238965663,-6796237.279,-5886288.708,-1771011,0,0,-3350,864412.4294,Paperboard Mills,36.29980001,41.13546151
895,3,ERCOT_2020_HubAVG.csv,1004024,275,Microreactor,1,0.595840968,-6519808.745,-5886288.708,-1771011,0,0,-3350,1140840.964,Paperboard Mills,289.0468476,346.9747636
900,3,ERCOT_2020_HubAVG.csv,1004024,200,Microreactor,1,1.395069959,-6567390.861,-5886288.708,-1771011,0,0,-3350,1093258.848,Paperboard Mills,128.778504,149.2760967
905,3,ERCOT_2020_HubAVG.csv,1004024,505,Microreactor,1,6.462582808,-6869107.266,-5886288.708,-1771011,0,0,-3350,791542.4419,Paperboard Mills,25.01406237,33.70447528
908,1,ERCOT_2020_HubAVG.csv,1004024,800,HTGR,1,4.849412704,-116350730.4,-99121276.32,-26896000,0,-16904123.58,-82000,26652669.51,Paperboard Mills,475.9459265,760.8050052
913,1,ERCOT_2020_HubAVG.csv,1002303,800,HTGR,1,7.467767539,-116565831.1,-99121276.32,-26896000,0,-16904123.58,-82000,26437568.81,"Paper Mills, except Newsprint",309.6407567,494.9642898
920,3,ERCOT_2020_HubAVG.csv,1002303,275,Microreactor,1,0.563454997,-6517722.202,-5886288.708,-1771011,0,0,-3350,1142927.506,"Paper Mills, except Newsprint",305.5627098,366.8005719
925,3,ERCOT_2020_HubAVG.csv,1002303,200,Microreactor,1,1.319243191,-6562505.543,-5886288.708,-1771011,0,0,-3350,1098144.166,"Paper Mills, except Newsprint",136.0790662,157.7386847
930,3,ERCOT_2020_HubAVG.csv,1002303,505,Microreactor,1,6.111319587,-6846475.955,-5886288.708,-1771011,0,0,-3350,814173.7538,"Paper Mills, except Newsprint",26.36465805,35.52429639
935,3,ERCOT_2020_HubAVG.csv,1002303,150,Microreactor,1,6.388349341,-6862902.936,-5886288.708,-1771011,0,0,-3350,797746.7726,"Paper Mills, except Newsprint",30.06079423,34.06532938
940,4,ERCOT_2020_HubAVG.csv,1006891,260,PBR-HTGR,2,334.9918852,-89111347.62,-58911884.42,-16000000,0,-17867747.78,-80000,3748284.581,Other Basic Organic Chemicals,7.076879118,8.435136554
950,4,ERCOT_2020_HubAVG.csv,1007438,260,PBR-HTGR,6,1053.558752,-270900075.8,-176735653.3,-48000000,0,-53965986.15,-240000,8041563.567,Other Basic Organic Chemicals,6.84058778,8.153494087
960,4,ERCOT_2020_HubAVG.csv,1006867,260,PBR-HTGR,1,141.8400619,-42693725.14,-29455942.21,-8000000,0,-8710103.32,-40000,3512320.396,Other Basic Organic Chemicals,8.007707303,9.544617544
970,4,ERCOT_2020_HubAVG.csv,1001934,260,PBR-HTGR,2,275.0800647,-84778030.19,-58911884.42,-16000000,0,-17384931.84,-80000,7598786.078,Other Basic Organic Chemicals,8.199120262,9.772768177
980,4,ERCOT_2020_HubAVG.csv,1003382,260,PBR-HTGR,3,427.0398276,-128210612.2,-88367826.63,-24000000,0,-26168007.1,-120000,10445221.49,Other Basic Organic Chemicals,7.987275154,9.520263876
989,3,ERCOT_2020_HubAVG.csv,1002884,260,Microreactor,3,44.879613,-22131708.4,-17658866.13,-5313033,0,0,-10050,850240.7252,Other Basic Organic Chemicals,13.1192464,15.63720858
1000,4,ERCOT_2020_HubAVG.csv,1002190,260,PBR-HTGR,1,113.1384348,-40626152.98,-29455942.21,-8000000,0,-8514394.647,-40000,5384183.882,Other Basic Organic Chemicals,9.552973782,11.38646528
1010,4,ERCOT_2020_HubAVG.csv,1001705,260,PBR-HTGR,5,875.5642757,-225572783.4,-147279711.1,-40000000,0,-44978281.49,-200000,6885209.137,Other Basic Organic Chemicals,6.853962403,8.169435686
1019,3,ERCOT_2020_HubAVG.csv,1002212,260,Microreactor,2,37.49945143,-15251164.82,-11772577.42,-3542022,0,0,-6700,70134.59416,Other Basic Organic Chemicals,10.81984783,12.89648903
1030,4,ERCOT_2020_HubAVG.csv,1002967,260,PBR-HTGR,2,271.9878952,-84555332.57,-58911884.42,-16000000,0,-17360239.65,-80000,7796791.503,Other Basic Organic Chemicals,8.270551659,9.857909321
