,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
8,3,ERCOT_2020_HubAVG.csv,1005344,180,Microreactor,1,7.722650642,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,27.38459866,31.45521143
18,3,ERCOT_2020_HubAVG.csv,1004259,180,Microreactor,1,3.739040312,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,56.56041944,64.9679031
28,3,ERCOT_2020_HubAVG.csv,1005832,180,Microreactor,1,4.431110244,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,47.72656891,54.82093546
38,3,ERCOT_2020_HubAVG.csv,1002769,180,Microreactor,1,2.062914472,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,102.515975,117.7545711
48,3,ERCOT_2020_HubAVG.csv,1007348,180,Microreactor,1,4.061553383,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,52.0691638,59.80903999
58,3,ERCOT_2020_HubAVG.csv,1003580,180,Microreactor,1,1.543660245,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Iron and Steel Mills,137.0001522,157.3646854
61,2,ERCOT_2020_HubAVG.csv,1002146,220,iMSR,2,335.1475188,-132526645.5,-92969471.45,-23970000,-696903.7194,-14749270.32,-141000,0,Petrochemicals,10.71806967,12.53893323
70,2,ERCOT_2020_HubAVG.csv,1006543,220,iMSR,2,384.6988284,-134810350.7,-92969471.45,-23970000,-799940.4124,-16929938.89,-141000,0,Petrochemicals,9.498428412,11.11209045
77,0,ERCOT_2020_HubAVG.csv,1007909,220,iPWR,4,543.5931282,-187779490.7,-137382585.4,-35420000,-1185218.365,-13291186.9,-500500,0,Petrochemicals,9.363184425,10.95387024
88,3,ERCOT_2020_HubAVG.csv,1002758,220,Microreactor,3,41.46793102,-23002049.13,-17658866.13,-5313033,0,0,-30150,0,Petrochemicals,15.03500366,17.58925934
98,3,ERCOT_2020_HubAVG.csv,1004957,220,Microreactor,1,12.89016036,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Petrochemicals,16.10855792,18.8451968
108,3,ERCOT_2020_HubAVG.csv,1002859,220,Microreactor,1,0.846048239,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Petrochemicals,245.4255976,287.1202816
118,3,ERCOT_2020_HubAVG.csv,1007562,220,Microreactor,2,20.81026217,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Petrochemicals,19.95572117,23.3459441
127,4,ERCOT_2020_HubAVG.csv,1006275,220,PBR-HTGR,2,230.3167323,-85743315.16,-58911884.42,-16000000,0,-10751430.74,-80000,0,Petrochemicals,10.09076657,11.80505932
137,4,ERCOT_2020_HubAVG.csv,1003991,220,PBR-HTGR,3,413.1834022,-131935668.6,-88367826.63,-24000000,0,-19287841.94,-280000.0219,0,Petrochemicals,8.655033115,10.12541304
146,3,ERCOT_2020_HubAVG.csv,1004389,220,Microreactor,1,6.040684858,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Petrochemicals,34.37389959,40.21358744
162,4,ERCOT_2020_HubAVG.csv,1010636,260,PBR-HTGR,1,187.4577094,-46246668.04,-29455942.21,-8000000,0,-8750725.828,-40000,0,Other Basic Organic Chemicals,6.563268861,7.822949659
171,3,ERCOT_2020_HubAVG.csv,1003899,260,Microreactor,2,29.47732904,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,13.8277183,16.48165669
181,3,ERCOT_2020_HubAVG.csv,1006656,260,Microreactor,1,2.947494812,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,69.14417635,82.41494021
191,3,ERCOT_2020_HubAVG.csv,1005467,260,Microreactor,1,15.83564643,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,12.86983149,15.33992375
201,3,ERCOT_2020_HubAVG.csv,1005523,260,Microreactor,1,13.81264071,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,14.75475294,17.58661605
211,3,ERCOT_2020_HubAVG.csv,1005947,260,Microreactor,2,20.25936307,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,20.11929993,23.9807745
221,3,ERCOT_2020_HubAVG.csv,1003402,260,Microreactor,2,29.75677464,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,13.69786232,16.32687761
231,3,ERCOT_2020_HubAVG.csv,1004732,260,Microreactor,2,32.67492059,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,12.4745277,14.86874975
241,3,ERCOT_2020_HubAVG.csv,1011907,260,Microreactor,1,14.15613425,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,14.39673412,17.15988308
251,3,ERCOT_2020_HubAVG.csv,1000619,260,Microreactor,1,13.26598591,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,15.36275573,18.31131212
261,3,ERCOT_2020_HubAVG.csv,1006644,260,Microreactor,2,23.64713382,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,17.23693895,20.54520523
271,3,ERCOT_2020_HubAVG.csv,1002993,260,Microreactor,2,25.54745098,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,15.95478948,19.01697425
281,3,ERCOT_2020_HubAVG.csv,1009064,260,Microreactor,1,18.30475965,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,11.13383103,13.27073468
291,3,ERCOT_2020_HubAVG.csv,1004018,260,Microreactor,2,25.24208513,-15321299.42,-11772577.42,-3542022,0,0,-6700,0,Other Basic Organic Chemicals,16.14780237,19.24703189
301,3,ERCOT_2020_HubAVG.csv,1002003,260,Microreactor,1,2.272600135,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,89.67794111,106.8897273
311,3,ERCOT_2020_HubAVG.csv,1000022,260,Microreactor,1,13.34275771,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,15.27436123,18.20595217
321,3,ERCOT_2020_HubAVG.csv,1007425,260,Microreactor,1,2.854828216,-7660649.708,-5886288.708,-1771011,0,0,-3350,0,Other Basic Organic Chemicals,71.388569,85.09009662
331,3,ERCOT_2020_HubAVG.csv,1000620,260,Microreactor,3,46.93683124,-22981949.13,-17658866.13,-5313033,0,0,-10050,0,Other Basic Organic Chemicals,13.02615211,15.52624681
339,1,ERCOT_2020_HubAVG.csv,1002380,850,HTGR,1,146.1517601,-135500100.4,-99121276.32,-26896000,0,-9400824.083,-82000,0,Nitrogenous Fertilizers,17.8104513,29.39875644
346,3,ERCOT_2020_HubAVG.csv,1002380,260,Microreactor,5,73.82923964,-38303248.54,-29431443.54,-8855055,0,0,-16750,0,Nitrogenous Fertilizers,13.80226195,16.45131454
352,4,ERCOT_2020_HubAVG.csv,1002040,177,PBR-HTGR,8,1542.190502,-371958635.3,-235647537.7,-64000000,0,-71991097.64,-320000,0,Alkalies and Chlorine,6.667373479,7.648037605
357,4,ERCOT_2020_HubAVG.csv,1001713,177,PBR-HTGR,4,734.4612555,-184269203.7,-117823768.8,-32000000,0,-34285434.83,-160000,0,Alkalies and Chlorine,6.935567933,7.955679178
361,3,ERCOT_2020_HubAVG.csv,1002395,120,Microreactor,1,0,-7657299.708,-5886288.708,-1771011,0,0,0,0,Lime,inf,inf
371,3,ERCOT_2020_HubAVG.csv,1002403,120,Microreactor,1,0,-7657299.708,-5886288.708,-1771011,0,0,0,0,Lime,inf,inf
381,3,ERCOT_2020_HubAVG.csv,1002432,120,Microreactor,1,0,-7657299.708,-5886288.708,-1771011,0,0,0,0,Lime,inf,inf
394,1,ERCOT_2020_HubAVG.csv,1011719,600,HTGR,1,50.2064029,-130758664.8,-99121276.32,-26896000,0,-4659388.46,-82000,0,Petroleum Refineries,58.1912686,82.58568272
