,Unnamed: 0,LMPType,Facility ID,Temperature Req,Generator,Modules,Facility Demand,Profit,Annualized Capital Cost,Fixed Cost,Variable Cost,Fuel Cost,Start-Up Cost,Electric Wholesale Revenues,Industry,NGBE_Cost,Energy Breakeven Price [$/GJ]
7,2,SPP_2021_HubAVG.csv,1004453,180,iMSR,12,1.804971836,122537647.3,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,976693728.9,Iron and Steel Mills,-1874.158309,-2152.744562
17,2,SPP_2021_HubAVG.csv,1007695,180,iMSR,12,4.725974983,121662337.1,-557816828.7,-143820000,-6735755.386,-142555527,-3313500,975903948.1,Iron and Steel Mills,-710.6764123,-816.3156629
22,2,SPP_2021_HubAVG.csv,1006338,220,iMSR,12,1.160037056,122718579.2,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,976874660.8,Petrochemicals,-2867.397054,-3354.531303
32,2,SPP_2021_HubAVG.csv,1001920,220,iMSR,12,206.0293076,64200479.44,-557816828.7,-143820000,-6696308.789,-141720679.2,-3243000,917497296.1,Petroleum Refineries,-8.446147225,-9.881040093
36,1,SPP_2021_HubAVG.csv,1001920,600,HTGR,2,424.0653356,-216775299,-198242552.6,-53792000,0,-36359528.47,-164000,71782782.15,Petroleum Refineries,11.42150871,16.20952966
42,2,SPP_2021_HubAVG.csv,1004291,220,iMSR,12,435.8212343,2130864.178,-557816828.7,-143820000,-6873385.398,-145468328.6,-2256000,858365406.8,Petroleum Refineries,-0.132524679,-0.155038935
46,1,SPP_2021_HubAVG.csv,1004291,600,HTGR,1,40.27261461,-59736102.27,-99121276.32,-26896000,0,-17897742.37,-82000,84260916.41,Petroleum Refineries,33.141603,47.03492424
52,2,SPP_2021_HubAVG.csv,1004381,220,iMSR,12,52.78971914,108151251.7,-557816828.7,-143820000,-6736203.997,-142565021.4,-3172500,962261805.7,Petroleum Refineries,-55.53049919,-64.96442392
56,1,SPP_2021_HubAVG.csv,1004381,600,HTGR,1,306.3682451,-140064924.4,-99121276.32,-26896000,0,-18184934.95,-82000,4219286.859,Petroleum Refineries,10.21485243,14.49702992
62,2,SPP_2021_HubAVG.csv,1002026,220,iMSR,12,177.3155147,72299214.7,-557816828.7,-143820000,-6697284.834,-141741336.2,-3172500,925547164.4,Petroleum Refineries,-11.05188156,-12.92945551
65,1,SPP_2021_HubAVG.csv,1002026,600,HTGR,1,106.686388,-78554073.96,-99121276.32,-26896000,0,-17863242.95,-82000,65408445.31,Petroleum Refineries,16.4515248,23.34818333
71,2,SPP_2021_HubAVG.csv,1002310,220,iMSR,12,251.8639387,50498684.44,-557816828.7,-143820000,-6666017.707,-141079598.7,-3172500,903053629.6,Petroleum Refineries,-5.434548295,-6.357808851
75,1,SPP_2021_HubAVG.csv,1002310,600,HTGR,1,29.2222463,-56610856.37,-99121276.32,-26896000,0,-17881394.5,-82000,87369814.45,Petroleum Refineries,43.28451768,61.42985932
81,2,SPP_2021_HubAVG.csv,1002028,220,iMSR,12,278.3834499,43134950.04,-557816828.7,-143820000,-6787173.189,-143643733.4,-2397000,897599685.3,Petroleum Refineries,-4.199864372,-4.913367852
85,1,SPP_2021_HubAVG.csv,1002028,600,HTGR,1,62.87638018,-66138871.64,-99121276.32,-26896000,0,-17960712.98,-82000,77921117.66,Petroleum Refineries,23.50258895,33.35513043
90,1,SPP_2021_HubAVG.csv,1007786,600,HTGR,1,14.45957922,-52442650.84,-99121276.32,-26896000,0,-17881394.5,-82000,91538019.98,Petroleum Refineries,81.03552232,115.0064966
96,2,SPP_2021_HubAVG.csv,1001069,150,iMSR,12,10.32701654,120021621.6,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,974177703.3,Paperboard Mills,-325.2114809,-368.5343817
101,2,SPP_2021_HubAVG.csv,1001069,275,iMSR,12,1.174518012,122697026,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,976853107.6,Paperboard Mills,-2759.548915,-3312.590469
106,2,SPP_2021_HubAVG.csv,1001069,200,iMSR,12,2.749953229,122236504,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,976392585.7,Paperboard Mills,-1215.967904,-1409.512742
111,2,SPP_2021_HubAVG.csv,1001069,505,iMSR,12,12.73900305,119316564,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,973472645.6,Paperboard Mills,-220.4222077,-297.0015323
115,1,SPP_2021_HubAVG.csv,1001069,800,HTGR,1,12.24313274,-51927983.79,-99121276.32,-26896000,0,-17881394.5,-82000,92052687.03,Paperboard Mills,84.13690811,134.4938096
121,2,SPP_2021_HubAVG.csv,1004961,150,iMSR,12,4.53690701,121652377.4,-557816828.7,-143820000,-6735755.386,-142555527,-3313500,975893988.4,Paperboard Mills,-750.3121408,-850.2646344
126,2,SPP_2021_HubAVG.csv,1004961,275,iMSR,12,0.515994041,122820363.4,-557816828.7,-143820000,-6735299.754,-142545884,-3313500,977051875.8,Paperboard Mills,-6287.665556,-7547.777421
131,2,SPP_2021_HubAVG.csv,1004961,200,iMSR,12,1.208120664,122687203.4,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,976843285,Paperboard Mills,-2778.020542,-3220.196305
136,2,SPP_2021_HubAVG.csv,1004961,505,iMSR,12,5.596550758,121404403.5,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,975560485.1,Paperboard Mills,-510.5097531,-687.8716099
140,1,SPP_2021_HubAVG.csv,1004961,800,HTGR,1,4.199556917,-49583879.87,-99121276.32,-26896000,0,-17881394.5,-82000,94396790.95,Paperboard Mills,234.2149869,374.3953344
145,1,SPP_2021_HubAVG.csv,1001913,800,HTGR,1,19.85325913,-54220552.86,-99121276.32,-26896000,0,-17881394.5,-82000,89760117.96,"Paper Mills, except Newsprint",54.1763543,86.60152177
151,2,SPP_2021_HubAVG.csv,1001913,275,iMSR,12,1.497960134,122526919.2,-557816828.7,-143820000,-6735108.585,-142541838.1,-3313500,976754194.6,"Paper Mills, except Newsprint",-2160.702628,-2593.729321
156,2,SPP_2021_HubAVG.csv,1006203,450,iMSR,12,48.17756662,109564425.8,-557816828.7,-143820000,-6736060.373,-142561981.7,-3172500,963671796.5,Ethyl Alcohol,-55.0871973,-72.11375321
161,2,SPP_2021_HubAVG.csv,1006203,233,iMSR,12,21.87202411,116894306.7,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,971050388.3,Ethyl Alcohol,-143.991139,-169.4719305
166,2,SPP_2021_HubAVG.csv,1005386,450,iMSR,12,72.21502682,102886419.9,-557816828.7,-143820000,-6737379.648,-142589902.9,-3172500,957023031.2,Ethyl Alcohol,-34.51091306,-45.17767448
171,2,SPP_2021_HubAVG.csv,1005386,233,iMSR,12,32.78473611,113896361.3,-557816828.7,-143820000,-6735290.969,-142545698.1,-3172500,967986679,Ethyl Alcohol,-93.59864047,-110.1619336
176,2,SPP_2021_HubAVG.csv,1002703,450,iMSR,12,57.44044978,107133276.7,-557816828.7,-143820000,-6750518.074,-142867964.5,-3243000,961631588,Ethyl Alcohol,-45.17857484,-59.14253685
181,2,SPP_2021_HubAVG.csv,1002703,233,iMSR,12,26.07725941,115783133.9,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,969868715.6,Ethyl Alcohol,-119.6230129,-140.7916006
186,2,SPP_2021_HubAVG.csv,1011661,450,iMSR,12,14.60764163,119006101.1,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,973091682.7,Ethyl Alcohol,-197.3399856,-258.3345626
191,2,SPP_2021_HubAVG.csv,1011661,233,iMSR,12,5.2963566,121490300.9,-557816828.7,-143820000,-6735755.386,-142555527,-3313500,975731912,Ethyl Alcohol,-618.0103849,-727.374016
196,2,SPP_2021_HubAVG.csv,1007063,450,iMSR,12,37.91054993,112453771.2,-557816828.7,-143820000,-6735545.928,-142551094,-3172500,966549739.9,Ethyl Alcohol,-71.85217368,-94.06051087
201,2,SPP_2021_HubAVG.csv,1007063,233,iMSR,12,17.21092451,118274577.5,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,972360159.2,Ethyl Alcohol,-185.1478142,-217.9117252
206,2,SPP_2021_HubAVG.csv,1003150,450,iMSR,12,73.72397178,102477946.5,-557816828.7,-143820000,-6738045.653,-142603998.2,-3172500,956629319.1,Ethyl Alcohol,-33.67035235,-44.07731013
211,2,SPP_2021_HubAVG.csv,1003150,233,iMSR,12,33.46977858,113703565.1,-557816828.7,-143820000,-6735323.419,-142546384.8,-3172500,967794602.1,Ethyl Alcohol,-91.5277162,-107.7245369
216,2,SPP_2021_HubAVG.csv,1004091,450,iMSR,12,23.41753806,116460016.7,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,970616098.3,Ethyl Alcohol,-120.4651939,-157.6990243
221,2,SPP_2021_HubAVG.csv,1004091,233,iMSR,12,10.63127495,120052961.7,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,974209043.3,Ethyl Alcohol,-304.2418209,-358.0807063
226,2,SPP_2021_HubAVG.csv,1010658,450,iMSR,12,57.48944098,107119489.5,-557816828.7,-143820000,-6750520.596,-142868017.9,-3243000,961617856.6,Ethyl Alcohol,-45.13426551,-59.08453222
231,2,SPP_2021_HubAVG.csv,1010658,233,iMSR,12,26.09950081,115776884.1,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,969862465.7,Ethyl Alcohol,-119.5146213,-140.664028
236,2,SPP_2021_HubAVG.csv,1006694,450,iMSR,12,37.91013719,112453887.4,-557816828.7,-143820000,-6735545.906,-142551093.6,-3172500,966549855.5,Ethyl Alcohol,-71.85303017,-94.06163209
241,2,SPP_2021_HubAVG.csv,1006694,233,iMSR,12,17.21073713,118274630.2,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,972360211.8,Ethyl Alcohol,-185.1499123,-217.9141946
246,2,SPP_2021_HubAVG.csv,1004713,450,iMSR,12,42.29693241,111219352.6,-557816828.7,-143820000,-6735765.925,-142555750,-3172500,965320197.3,Ethyl Alcohol,-63.69384438,-83.38057479
251,2,SPP_2021_HubAVG.csv,1004713,233,iMSR,12,19.20228833,117644503.5,-557816828.7,-143820000,-6735077.284,-142541175.6,-3243000,971800585.1,Ethyl Alcohol,-165.0631155,-194.2728216
256,2,SPP_2021_HubAVG.csv,1002865,450,iMSR,12,57.39261425,106790527.4,-557816828.7,-143820000,-6733184.649,-142501119.9,-3313500,960975160.7,Ethyl Alcohol,-45.0715709,-59.00245973
261,2,SPP_2021_HubAVG.csv,1002865,233,iMSR,12,26.05554266,115789236.4,-557816828.7,-143820000,-6735077.284,-142541175.6,-3172500,969874818,Ethyl Alcohol,-119.7290262,-140.9163741
266,2,SPP_2021_HubAVG.csv,1003954,450,iMSR,12,35.43460904,113150593,-557816828.7,-143820000,-6735417.631,-142548378.7,-3172500,967243718,Ethyl Alcohol,-77.34908129,-101.2564231
271,2,SPP_2021_HubAVG.csv,1005812,450,iMSR,12,50.01693673,109046790.6,-557816828.7,-143820000,-6736152.473,-142563930.9,-3172500,963156202.7,Ethyl Alcohol,-52.81068116,-69.13360298
276,2,SPP_2021_HubAVG.csv,1000344,450,iMSR,12,76.54151128,101670677.1,-557816828.7,-143820000,-6737064.781,-142583239,-3172500,955800309.6,Ethyl Alcohol,-32.1754518,-42.12036016
281,2,SPP_2021_HubAVG.csv,1005683,450,iMSR,12,46.14538174,110136322.8,-557816828.7,-143820000,-6735958.619,-142559828.2,-3172500,964241438.3,Ethyl Alcohol,-57.81337193,-75.68254404
