FACILITY_ID,Industry
"1,005,947",Other Basic Organic Chemicals
"1,005,947",Other Basic Organic Chemicals
"1,003,551",Other Basic Organic Chemicals
"1,003,551",Other Basic Organic Chemicals
"1,003,551",Other Basic Organic Chemicals
"1,003,551",Other Basic Organic Chemicals
"1,003,551",Other Basic Organic Chemicals
"1,004,274",Other Basic Organic Chemicals
"1,004,274",Other Basic Organic Chemicals
"1,004,274",Other Basic Organic Chemicals
"1,004,274",Other Basic Organic Chemicals
"1,004,274",Other Basic Organic Chemicals
"1,003,402",Other Basic Organic Chemicals
"1,003,402",Other Basic Organic Chemicals
"1,003,402",Other Basic Organic Chemicals
"1,003,402",Other Basic Organic Chemicals
"1,003,402",Other Basic Organic Chemicals
"1,000,708",Other Basic Organic Chemicals
"1,000,708",Other Basic Organic Chemicals
"1,000,708",Other Basic Organic Chemicals
"1,000,708",Other Basic Organic Chemicals
"1,000,708",Other Basic Organic Chemicals
"1,001,989",Other Basic Organic Chemicals
"1,001,989",Other Basic Organic Chemicals
"1,001,989",Other Basic Organic Chemicals
"1,001,989",Other Basic Organic Chemicals
"1,001,989",Other Basic Organic Chemicals
"1,004,732",Other Basic Organic Chemicals
"1,004,732",Other Basic Organic Chemicals
"1,004,732",Other Basic Organic Chemicals
"1,004,732",Other Basic Organic Chemicals
"1,004,732",Other Basic Organic Chemicals
"1,007,956",Other Basic Organic Chemicals
"1,007,956",Other Basic Organic Chemicals
"1,007,956",Other Basic Organic Chemicals
"1,007,956",Other Basic Organic Chemicals
"1,007,956",Other Basic Organic Chemicals
"1,001,214",Other Basic Organic Chemicals
"1,001,214",Other Basic Organic Chemicals
"1,001,214",Other Basic Organic Chemicals
"1,001,214",Other Basic Organic Chemicals
"1,001,214",Other Basic Organic Chemicals
"1,006,573",Other Basic Organic Chemicals
"1,006,573",Other Basic Organic Chemicals
"1,006,573",Other Basic Organic Chemicals
"1,006,573",Other Basic Organic Chemicals
"1,006,573",Other Basic Organic Chemicals
"1,000,619",Other Basic Organic Chemicals
"1,000,619",Other Basic Organic Chemicals
"1,000,619",Other Basic Organic Chemicals
"1,000,619",Other Basic Organic Chemicals
"1,000,619",Other Basic Organic Chemicals
"1,006,673",Other Basic Organic Chemicals
"1,006,673",Other Basic Organic Chemicals
"1,006,673",Other Basic Organic Chemicals
"1,006,673",Other Basic Organic Chemicals
"1,006,673",Other Basic Organic Chemicals
"1,007,512",Other Basic Organic Chemicals
"1,007,512",Other Basic Organic Chemicals
"1,007,512",Other Basic Organic Chemicals
"1,007,512",Other Basic Organic Chemicals
"1,007,512",Other Basic Organic Chemicals
"1,000,704",Other Basic Organic Chemicals
"1,000,704",Other Basic Organic Chemicals
"1,000,704",Other Basic Organic Chemicals
"1,000,704",Other Basic Organic Chemicals
"1,000,704",Other Basic Organic Chemicals
"1,005,312",Other Basic Organic Chemicals
"1,005,312",Other Basic Organic Chemicals
"1,005,312",Other Basic Organic Chemicals
"1,005,312",Other Basic Organic Chemicals
"1,005,312",Other Basic Organic Chemicals
"1,002,993",Other Basic Organic Chemicals
"1,002,993",Other Basic Organic Chemicals
"1,002,993",Other Basic Organic Chemicals
"1,002,993",Other Basic Organic Chemicals
"1,002,993",Other Basic Organic Chemicals
"1,004,985",Other Basic Organic Chemicals
"1,004,985",Other Basic Organic Chemicals
"1,004,985",Other Basic Organic Chemicals
"1,004,985",Other Basic Organic Chemicals
"1,004,985",Other Basic Organic Chemicals
"1,010,538",Other Basic Organic Chemicals
"1,010,538",Other Basic Organic Chemicals
"1,010,538",Other Basic Organic Chemicals
"1,010,538",Other Basic Organic Chemicals
"1,010,538",Other Basic Organic Chemicals
"1,004,900",Other Basic Organic Chemicals
"1,004,900",Other Basic Organic Chemicals
"1,004,900",Other Basic Organic Chemicals
"1,004,900",Other Basic Organic Chemicals
"1,004,900",Other Basic Organic Chemicals
"1,005,744",Other Basic Organic Chemicals
"1,005,744",Other Basic Organic Chemicals
"1,005,744",Other Basic Organic Chemicals
"1,005,744",Other Basic Organic Chemicals
"1,005,744",Other Basic Organic Chemicals
"1,004,018",Other Basic Organic Chemicals
"1,004,018",Other Basic Organic Chemicals
"1,004,018",Other Basic Organic Chemicals
"1,004,018",Other Basic Organic Chemicals
"1,004,018",Other Basic Organic Chemicals
"1,003,940",Other Basic Organic Chemicals
"1,003,940",Other Basic Organic Chemicals
"1,003,940",Other Basic Organic Chemicals
"1,003,940",Other Basic Organic Chemicals
"1,003,940",Other Basic Organic Chemicals
"1,007,064",Other Basic Organic Chemicals
"1,007,064",Other Basic Organic Chemicals
"1,007,064",Other Basic Organic Chemicals
"1,007,064",Other Basic Organic Chemicals
"1,007,064",Other Basic Organic Chemicals
"1,002,003",Other Basic Organic Chemicals
"1,002,003",Other Basic Organic Chemicals
"1,002,003",Other Basic Organic Chemicals
"1,002,003",Other Basic Organic Chemicals
"1,002,003",Other Basic Organic Chemicals
"1,000,022",Other Basic Organic Chemicals
"1,000,022",Other Basic Organic Chemicals
"1,000,022",Other Basic Organic Chemicals
"1,000,022",Other Basic Organic Chemicals
"1,000,022",Other Basic Organic Chemicals
"1,000,618",Other Basic Organic Chemicals
"1,000,618",Other Basic Organic Chemicals
"1,000,618",Other Basic Organic Chemicals
"1,000,618",Other Basic Organic Chemicals
"1,000,618",Other Basic Organic Chemicals
"1,002,246",Other Basic Organic Chemicals
"1,002,246",Other Basic Organic Chemicals
"1,002,246",Other Basic Organic Chemicals
"1,002,246",Other Basic Organic Chemicals
"1,002,246",Other Basic Organic Chemicals
"1,007,425",Other Basic Organic Chemicals
"1,007,425",Other Basic Organic Chemicals
"1,007,425",Other Basic Organic Chemicals
"1,007,425",Other Basic Organic Chemicals
"1,007,425",Other Basic Organic Chemicals
"1,007,343",Other Basic Organic Chemicals
"1,007,343",Other Basic Organic Chemicals
"1,007,343",Other Basic Organic Chemicals
"1,007,343",Other Basic Organic Chemicals
"1,007,343",Other Basic Organic Chemicals
"1,005,465",Other Basic Organic Chemicals
"1,005,465",Other Basic Organic Chemicals
"1,005,465",Other Basic Organic Chemicals
"1,005,465",Other Basic Organic Chemicals
"1,005,465",Other Basic Organic Chemicals
"1,004,339",Other Basic Organic Chemicals
"1,004,339",Other Basic Organic Chemicals
"1,004,339",Other Basic Organic Chemicals
"1,004,339",Other Basic Organic Chemicals
"1,004,339",Other Basic Organic Chemicals
"1,008,023",Other Basic Organic Chemicals
"1,008,023",Other Basic Organic Chemicals
"1,008,023",Other Basic Organic Chemicals
"1,008,023",Other Basic Organic Chemicals
"1,008,023",Other Basic Organic Chemicals
"1,008,036",Other Basic Organic Chemicals
"1,008,036",Other Basic Organic Chemicals
"1,008,036",Other Basic Organic Chemicals
"1,008,036",Other Basic Organic Chemicals
"1,008,036",Other Basic Organic Chemicals
"1,006,968",Other Basic Organic Chemicals
"1,006,968",Other Basic Organic Chemicals
"1,006,968",Other Basic Organic Chemicals
"1,006,968",Other Basic Organic Chemicals
"1,006,968",Other Basic Organic Chemicals
"1,007,694",Other Basic Organic Chemicals
"1,007,694",Other Basic Organic Chemicals
"1,007,694",Other Basic Organic Chemicals
"1,007,694",Other Basic Organic Chemicals
"1,007,694",Other Basic Organic Chemicals
"1,010,704",Other Basic Organic Chemicals
"1,010,704",Other Basic Organic Chemicals
"1,010,704",Other Basic Organic Chemicals
"1,010,704",Other Basic Organic Chemicals
"1,010,704",Other Basic Organic Chemicals
"1,007,041",Other Basic Organic Chemicals
"1,007,041",Other Basic Organic Chemicals
"1,007,041",Other Basic Organic Chemicals
"1,007,041",Other Basic Organic Chemicals
"1,007,041",Other Basic Organic Chemicals
"1,003,003",Other Basic Organic Chemicals
"1,003,003",Other Basic Organic Chemicals
"1,003,003",Other Basic Organic Chemicals
"1,003,003",Other Basic Organic Chemicals
"1,003,003",Other Basic Organic Chemicals
"1,000,272",Other Basic Organic Chemicals
"1,000,272",Other Basic Organic Chemicals
"1,000,272",Other Basic Organic Chemicals
"1,000,272",Other Basic Organic Chemicals
"1,000,272",Other Basic Organic Chemicals
"1,000,620",Other Basic Organic Chemicals
"1,000,620",Other Basic Organic Chemicals
"1,000,620",Other Basic Organic Chemicals
"1,000,620",Other Basic Organic Chemicals
"1,000,620",Other Basic Organic Chemicals
"1,003,146",Other Basic Organic Chemicals
"1,003,146",Other Basic Organic Chemicals
"1,003,146",Other Basic Organic Chemicals
"1,003,146",Other Basic Organic Chemicals
"1,003,146",Other Basic Organic Chemicals
"1,002,988",Other Basic Organic Chemicals
"1,002,988",Other Basic Organic Chemicals
"1,002,988",Other Basic Organic Chemicals
"1,002,988",Other Basic Organic Chemicals
"1,002,988",Other Basic Organic Chemicals
"1,010,610",Other Basic Organic Chemicals
"1,010,610",Other Basic Organic Chemicals
"1,010,610",Other Basic Organic Chemicals
"1,010,610",Other Basic Organic Chemicals
"1,010,610",Other Basic Organic Chemicals
"1,007,438",Other Basic Organic Chemicals
"1,007,438",Other Basic Organic Chemicals
"1,007,438",Other Basic Organic Chemicals
"1,007,438",Other Basic Organic Chemicals
"1,007,438",Other Basic Organic Chemicals
"1,004,208",Other Basic Organic Chemicals
"1,004,208",Other Basic Organic Chemicals
"1,004,208",Other Basic Organic Chemicals
"1,004,208",Other Basic Organic Chemicals
"1,004,208",Other Basic Organic Chemicals
"1,004,314",Other Basic Organic Chemicals
"1,004,314",Other Basic Organic Chemicals
"1,004,314",Other Basic Organic Chemicals
"1,004,314",Other Basic Organic Chemicals
"1,004,314",Other Basic Organic Chemicals
"1,001,781",Other Basic Organic Chemicals
"1,001,781",Other Basic Organic Chemicals
"1,001,781",Other Basic Organic Chemicals
"1,001,781",Other Basic Organic Chemicals
"1,001,781",Other Basic Organic Chemicals
"1,002,967",Other Basic Organic Chemicals
"1,002,967",Other Basic Organic Chemicals
"1,002,967",Other Basic Organic Chemicals
"1,002,967",Other Basic Organic Chemicals
"1,002,967",Other Basic Organic Chemicals
"1,011,834",Other Basic Organic Chemicals
"1,011,834",Other Basic Organic Chemicals
"1,011,834",Other Basic Organic Chemicals
"1,011,834",Other Basic Organic Chemicals
"1,011,834",Other Basic Organic Chemicals
"1,000,816",Other Basic Organic Chemicals
"1,000,816",Other Basic Organic Chemicals
"1,000,816",Other Basic Organic Chemicals
"1,000,816",Other Basic Organic Chemicals
"1,000,816",Other Basic Organic Chemicals
"1,004,570",Other Basic Organic Chemicals
"1,004,570",Other Basic Organic Chemicals
"1,004,570",Other Basic Organic Chemicals
"1,004,570",Other Basic Organic Chemicals
"1,004,570",Other Basic Organic Chemicals
"1,000,630",Other Basic Organic Chemicals
"1,000,630",Other Basic Organic Chemicals
"1,000,630",Other Basic Organic Chemicals
"1,000,630",Other Basic Organic Chemicals
"1,000,630",Other Basic Organic Chemicals
"1,003,899",Other Basic Organic Chemicals
"1,003,899",Other Basic Organic Chemicals
"1,003,899",Other Basic Organic Chemicals
"1,003,899",Other Basic Organic Chemicals
"1,003,899",Other Basic Organic Chemicals
"1,007,603",Pulp Mills
"1,007,603",Pulp Mills
"1,007,603",Pulp Mills
"1,007,603",Pulp Mills
"1,007,603",Pulp Mills
"1,004,459",Petroleum Refineries
"1,004,459",Petroleum Refineries
"1,004,459",Petroleum Refineries
"1,004,459",Petroleum Refineries
"1,004,459",Petroleum Refineries
"1,002,461",Petroleum Refineries
"1,002,461",Petroleum Refineries
"1,002,461",Petroleum Refineries
"1,002,461",Petroleum Refineries
"1,002,461",Petroleum Refineries
"1,005,903",Petroleum Refineries
"1,005,903",Petroleum Refineries
"1,005,903",Petroleum Refineries
"1,005,903",Petroleum Refineries
"1,005,903",Petroleum Refineries
"1,009,080",Petroleum Refineries
"1,009,080",Petroleum Refineries
"1,009,080",Petroleum Refineries
"1,009,080",Petroleum Refineries
"1,009,080",Petroleum Refineries
"1,006,012",Petroleum Refineries
"1,006,012",Petroleum Refineries
"1,006,012",Petroleum Refineries
"1,006,012",Petroleum Refineries
"1,006,012",Petroleum Refineries
"1,007,786",Petroleum Refineries
"1,007,786",Petroleum Refineries
"1,007,786",Petroleum Refineries
"1,007,786",Petroleum Refineries
"1,007,786",Petroleum Refineries
"1,006,444",Petroleum Refineries
"1,006,444",Petroleum Refineries
"1,006,444",Petroleum Refineries
"1,006,444",Petroleum Refineries
"1,006,444",Petroleum Refineries
"1,007,844",Petroleum Refineries
"1,007,844",Petroleum Refineries
"1,007,844",Petroleum Refineries
"1,007,844",Petroleum Refineries
"1,007,844",Petroleum Refineries
"1,007,622",Petroleum Refineries
"1,007,622",Petroleum Refineries
"1,007,622",Petroleum Refineries
"1,007,622",Petroleum Refineries
"1,007,622",Petroleum Refineries
"1,007,923",Petroleum Refineries
"1,007,923",Petroleum Refineries
"1,007,923",Petroleum Refineries
"1,007,923",Petroleum Refineries
"1,007,923",Petroleum Refineries
"1,004,305",Petroleum Refineries
"1,004,305",Petroleum Refineries
"1,004,305",Petroleum Refineries
"1,004,305",Petroleum Refineries
"1,004,305",Petroleum Refineries
"1,011,719",Petroleum Refineries
"1,011,719",Petroleum Refineries
"1,011,719",Petroleum Refineries
"1,011,719",Petroleum Refineries
"1,011,719",Petroleum Refineries
"1,004,130",Petroleum Refineries
"1,004,130",Petroleum Refineries
"1,004,130",Petroleum Refineries
"1,004,130",Petroleum Refineries
"1,004,130",Petroleum Refineries
"1,007,922",Petroleum Refineries
"1,007,922",Petroleum Refineries
"1,007,922",Petroleum Refineries
"1,007,922",Petroleum Refineries
"1,007,922",Petroleum Refineries
"1,008,938",Petroleum Refineries
"1,008,938",Petroleum Refineries
"1,008,938",Petroleum Refineries
"1,008,938",Petroleum Refineries
"1,008,938",Petroleum Refineries
"1,006,959",Petroleum Refineries
"1,006,959",Petroleum Refineries
"1,006,959",Petroleum Refineries
"1,006,959",Petroleum Refineries
"1,006,959",Petroleum Refineries
"1,004,340",Nitrogenous Fertilizers
"1,004,340",Nitrogenous Fertilizers
"1,004,340",Nitrogenous Fertilizers
"1,004,340",Nitrogenous Fertilizers
"1,004,340",Nitrogenous Fertilizers
"1,006,575",Nitrogenous Fertilizers
"1,006,575",Nitrogenous Fertilizers
"1,006,575",Nitrogenous Fertilizers
"1,006,575",Nitrogenous Fertilizers
"1,006,575",Nitrogenous Fertilizers
"1,005,867",Nitrogenous Fertilizers
"1,005,867",Nitrogenous Fertilizers
"1,005,867",Nitrogenous Fertilizers
"1,005,867",Nitrogenous Fertilizers
"1,005,867",Nitrogenous Fertilizers
"1,002,170",Nitrogenous Fertilizers
"1,002,170",Nitrogenous Fertilizers
"1,002,170",Nitrogenous Fertilizers
"1,002,170",Nitrogenous Fertilizers
"1,002,170",Nitrogenous Fertilizers
"1,005,788",Nitrogenous Fertilizers
"1,005,788",Nitrogenous Fertilizers
"1,005,788",Nitrogenous Fertilizers
"1,005,788",Nitrogenous Fertilizers
"1,005,788",Nitrogenous Fertilizers
"1,005,766",Nitrogenous Fertilizers
"1,005,766",Nitrogenous Fertilizers
"1,005,766",Nitrogenous Fertilizers
"1,005,766",Nitrogenous Fertilizers
"1,005,766",Nitrogenous Fertilizers
"1,002,301",Nitrogenous Fertilizers
"1,002,301",Nitrogenous Fertilizers
"1,002,301",Nitrogenous Fertilizers
"1,002,301",Nitrogenous Fertilizers
"1,002,301",Nitrogenous Fertilizers
"1,002,229",Nitrogenous Fertilizers
"1,002,229",Nitrogenous Fertilizers
"1,002,229",Nitrogenous Fertilizers
"1,002,229",Nitrogenous Fertilizers
"1,002,229",Nitrogenous Fertilizers
"1,005,502",Nitrogenous Fertilizers
"1,005,502",Nitrogenous Fertilizers
"1,005,502",Nitrogenous Fertilizers
"1,005,502",Nitrogenous Fertilizers
"1,005,502",Nitrogenous Fertilizers
"1,007,770",Nitrogenous Fertilizers
"1,007,770",Nitrogenous Fertilizers
"1,007,770",Nitrogenous Fertilizers
"1,007,770",Nitrogenous Fertilizers
"1,007,770",Nitrogenous Fertilizers
"1,007,046",Nitrogenous Fertilizers
"1,007,046",Nitrogenous Fertilizers
"1,007,046",Nitrogenous Fertilizers
"1,007,046",Nitrogenous Fertilizers
"1,007,046",Nitrogenous Fertilizers
"1,002,380",Nitrogenous Fertilizers
"1,002,380",Nitrogenous Fertilizers
"1,002,380",Nitrogenous Fertilizers
"1,002,380",Nitrogenous Fertilizers
"1,002,380",Nitrogenous Fertilizers
"1,006,037",Nitrogenous Fertilizers
"1,006,037",Nitrogenous Fertilizers
"1,006,037",Nitrogenous Fertilizers
"1,006,037",Nitrogenous Fertilizers
"1,006,037",Nitrogenous Fertilizers
"1,002,275",Nitrogenous Fertilizers
"1,002,275",Nitrogenous Fertilizers
"1,002,275",Nitrogenous Fertilizers
"1,002,275",Nitrogenous Fertilizers
"1,002,275",Nitrogenous Fertilizers
"1,002,188",Nitrogenous Fertilizers
"1,002,188",Nitrogenous Fertilizers
"1,002,188",Nitrogenous Fertilizers
"1,002,188",Nitrogenous Fertilizers
"1,002,188",Nitrogenous Fertilizers
"1,002,407",Nitrogenous Fertilizers
"1,002,407",Nitrogenous Fertilizers
"1,002,407",Nitrogenous Fertilizers
"1,002,407",Nitrogenous Fertilizers
"1,002,407",Nitrogenous Fertilizers
"1,006,005",Nitrogenous Fertilizers
"1,006,005",Nitrogenous Fertilizers
"1,006,005",Nitrogenous Fertilizers
"1,006,005",Nitrogenous Fertilizers
"1,006,005",Nitrogenous Fertilizers
"1,004,236",Nitrogenous Fertilizers
"1,004,236",Nitrogenous Fertilizers
"1,004,236",Nitrogenous Fertilizers
"1,004,236",Nitrogenous Fertilizers
"1,004,236",Nitrogenous Fertilizers
"1,006,067",Nitrogenous Fertilizers
"1,006,067",Nitrogenous Fertilizers
"1,006,067",Nitrogenous Fertilizers
